
week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 5,Sep 10,2012,Whirling Dervishes,Flying Dutchmen,147.95,123.15,120.76,120.22,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=1&mid2=8
1,Sep 5,Sep 10,2012,Flying Dutchmen,Whirling Dervishes,123.15,147.95,120.22,120.76,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=1&mid2=8week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 5,Sep 10,2012,Free Form Jazz,Fish Markets,103.80,105.85,102.92,108.94,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=2&mid2=3
1,Sep 5,Sep 10,2012,Fish Markets,Free Form Jazz,105.85,103.80,108.94,102.92,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=2&mid2=3week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 5,Sep 10,2012,Purple Jesus',Crooked 6 1/2's,106.55,133.65,116.08,115.59,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=4&mid2=9
1,Sep 5,Sep 10,2012,Crooked 6 1/2's,Purple Jesus',133.65,106.55,115.59,116.08,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=4&mid2=9week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 5,Sep 10,2012,Amish Rakefighters,Touch Me Gingerly,105.15,129.05,108.98,111.48,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=5&mid2=6
1,Sep 5,Sep 10,2012,Touch Me Gingerly,Amish Rakefighters,129.05,105.15,111.48,108.98,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=5&mid2=6week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
1,Sep 5,Sep 10,2012,Wild Bunnies,Protein Stains,76.35,137.25,107.50,105.53,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=7&mid2=10
1,Sep 5,Sep 10,2012,Protein Stains,Wild Bunnies,137.25,76.35,105.53,107.50,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=1&mid1=7&mid2=10week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
2,Sep 11,Sep 17,2012,Whirling Dervishes,Crooked 6 1/2's,102.95,159.50,122.34,122.82,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=1&mid2=9
2,Sep 11,Sep 17,2012,Crooked 6 1/2's,Whirling Dervishes,159.50,102.95,122.82,122.34,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=1&mid2=9week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
2,Sep 11,Sep 17,2012,Free Form Jazz,Flying Dutchmen,94.00,117.05,110.37,129.81,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=2&mid2=8
2,Sep 11,Sep 17,2012,Flying Dutchmen,Free Form Jazz,117.05,94.00,129.81,110.37,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=2&mid2=8week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
2,Sep 11,Sep 17,2012,Fish Markets,Purple Jesus',138.75,127.80,127.33,110.30,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=3&mid2=4
2,Sep 11,Sep 17,2012,Purple Jesus',Fish Markets,127.80,138.75,110.30,127.33,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=3&mid2=4week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
2,Sep 11,Sep 17,2012,Amish Rakefighters,Wild Bunnies,94.70,85.65,115.30,111.47,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=5&mid2=7
2,Sep 11,Sep 17,2012,Wild Bunnies,Amish Rakefighters,85.65,94.70,111.47,115.30,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=5&mid2=7week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
2,Sep 11,Sep 17,2012,Touch Me Gingerly,Protein Stains,94.00,79.75,118.08,118.47,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=6&mid2=10
2,Sep 11,Sep 17,2012,Protein Stains,Touch Me Gingerly,79.75,94.00,118.47,118.08,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=2&mid1=6&mid2=10week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
3,Sep 18,Sep 24,2012,Whirling Dervishes,Free Form Jazz,103.95,110.15,130.61,102.27,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=1&mid2=2
3,Sep 18,Sep 24,2012,Free Form Jazz,Whirling Dervishes,110.15,103.95,102.27,130.61,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=1&mid2=2week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
3,Sep 18,Sep 24,2012,Fish Markets,Touch Me Gingerly,102.00,122.60,120.66,125.48,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=3&mid2=6
3,Sep 18,Sep 24,2012,Touch Me Gingerly,Fish Markets,122.60,102.00,125.48,120.66,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=3&mid2=6week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
3,Sep 18,Sep 24,2012,Purple Jesus',Wild Bunnies,112.05,143.20,117.06,100.63,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=4&mid2=7
3,Sep 18,Sep 24,2012,Wild Bunnies,Purple Jesus',143.20,112.05,100.63,117.06,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=4&mid2=7week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
3,Sep 18,Sep 24,2012,Amish Rakefighters,Crooked 6 1/2's,107.70,94.45,111.52,132.80,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=5&mid2=9
3,Sep 18,Sep 24,2012,Crooked 6 1/2's,Amish Rakefighters,94.45,107.70,132.80,111.52,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=5&mid2=9week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
3,Sep 18,Sep 24,2012,Flying Dutchmen,Protein Stains,129.30,120.15,130.15,125.36,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=8&mid2=10
3,Sep 18,Sep 24,2012,Protein Stains,Flying Dutchmen,120.15,129.30,125.36,130.15,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=3&mid1=8&mid2=10week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
4,Sep 25,Oct 1,2012,Whirling Dervishes,Wild Bunnies,136.85,118.20,119.04,113.78,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=4&mid1=1&mid2=7
4,Sep 25,Oct 1,2012,Wild Bunnies,Whirling Dervishes,118.20,136.85,113.78,119.04,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=4&mid1=1&mid2=7week,startDate,endDate,year,rfflTeam,rfflOpponent,teamPoints,opponentPoints,teamProj,oppProj,url
4,Sep 25,Oct 1,2012,Free Form Jazz,Fish Markets,136.70,141.90,107.10,114.40,https://football.fantasysports.yahoo.com/2012/f1/162/matchup?week=4&mid1=2&mid2=3
