playerId,playerName,position,projection,points,week,startDate,endDate,year,rfflTeam,rfflOpponent,url
,,,,,1,Sep 8,Sep 12,2011,Team Ramrod,Whirling Dervishes,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=1&mid2=2playerId,playerName,position,projection,points,week,startDate,endDate,year,rfflTeam,rfflOpponent,url
6763,P. Rivers,QB,17.63,19.10,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
6339,A. Johnson,WR,9.74,15.50,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
7203,R. White,WR,9.39,6.10,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
9293,H. Nicks,WR,9.81,12.20,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
9527,A. Foster,RB,0.00,0.00,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
7809,M. Jones-Drew,RB,14.59,15.70,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
7755,V. Davis,TE,8.08,4.70,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
5046,S. Janikowski,K,7.31,13.00,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
100033,B.,DEF,9.04,22.00,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
6770,B. Roethlisberger,BN,13.74,9.10,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
6460,B. Lloyd,BN,7.81,8.90,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
6783,S. Jackson,BN,10.69,11.60,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
24076,M. Williams,BN,7.22,11.00,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
6624,T. Romo,BN,12.53,19.58,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
7847,O. Daniels,BN,5.10,1.20,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
,,,,,1,Sep 8,Sep 12,2011,4th Down Syndrome,Wicked Big Pats Fan,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
5228,T. Brady,QB,16.45,35.98,1,Sep 8,Sep 12,2011,Wicked Big Pats Fan,4th Down Syndrome,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
5477,R. Wayne,WR,7.24,16.60,1,Sep 8,Sep 12,2011,Wicked Big Pats Fan,4th Down Syndrome,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
8256,C. Johnson,WR,12.79,20.80,1,Sep 8,Sep 12,2011,Wicked Big Pats Fan,4th Down Syndrome,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
9391,A. Collie,WR,5.66,0.00,1,Sep 8,Sep 12,2011,Wicked Big Pats Fan,4th Down Syndrome,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
8801,C. Johnson,RB,12.88,4.90,1,Sep 8,Sep 12,2011,Wicked Big Pats Fan,4th Down Syndrome,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
9317,L. McCoy,RB,12.58,25.70,1,Sep 8,Sep 12,2011,Wicked Big Pats Fan,4th Down Syndrome,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
8868,J. Finley,TE,7.25,5.30,1,Sep 8,Sep 12,2011,Wicked Big Pats Fan,4th Down Syndrome,https://football.fantasysports.yahoo.com/2011/f1/292853/matchup?week=1&mid1=3&mid2=5
